번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
,,,,저작권법,"제2조, 제78조, 제81조, 제102조, 제103조, 제104조, 제123조, 제142조, 제760조",
,,,,저작권법 시행령,"제45조, 제46조",
385,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2007고정2015,2007. 10. 10.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,
,,,,형법,"제69조, 제70조",
,,,,형사소송법,제334조,
386,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)ㆍ명예훼손ㆍ협박,2007도3405,2007. 9. 6.,형사소송법,제327조,반의사불벌죄에 있어서 피해자가 처벌에 대한 희망ㆍ불희망의 의사표시를 철회하였다고 인정하기 위한 요건 및 명시적으로 위 의사표시나 그 철회를 한 이후 이를 번복할 수 있는지 여부(소극)
387,특정범죄가중처벌등에관한법률위반(절도)ㆍ여신전문금융업법위반ㆍ사기ㆍ자동차관리법위반ㆍ공기호부정사용ㆍ부정사용공기호행사ㆍ도로교통법위반(무면허운전)ㆍ정보통신망이용촉진및정보보호등에관한법률위반ㆍ강도예비,2007도4739,2007. 9. 6.,형법,제331조,자동차를 절취한 후 자동차등록번호판을 떼어내는 행위가 절도범행의 불가벌적 사후행위에 해당하는지 여부(소극)
388,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2007노579,2007. 8. 30.,형사소송법,제364조,
389,공갈·절도·협박·업무방해·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2006도3839,2007. 6. 29.,형법,제314조,인터넷 자유게시판 등에 실제의 객관적인 사실을 게시하는 행위가           형법 제314조 제1항에 정한 위계에 의한 업무방해죄에 있어서의 ‘위계’에 해당하는지 여부(소극)
390,사기·정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2006도6389,2007. 6. 28.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제49조,"[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조에 정한 ‘타인의 비밀’의 의미         
[2]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조에 정한 타인의 비밀에 해당하는 급여명세서를 소송 계속 중인 사건에 증거자료로 제출한 것이 비밀의 누설에 해당한다고 본 원심의 판단을 수긍한 사례        
[3] 타인의 급여번호와 비밀번호를 무단히 이용하여 학교법인의 정보통신망에 보관중인 급여명세서를 열람·출력하는 행위가 사회상규에 반하지 않는 정당행위에 해당하지 않는다고 본 사례"
,,,,형법,제20조,
391,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2007도2162,2007. 6. 14.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제49조, 제62조","[1] 형벌법규의 해석 원칙
[2]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조 및           제62조 제6호의 ‘타인’에 이미 사망한 자가 포함되는지 여부(적극)"
392,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)(피고인 1에대하여인정된죄명:명예훼손)·명예훼손,2006노2570,2007. 6. 13.,형법,"제69조, 제70조, 제307조",
393,명예훼손·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2006도1538,2007. 6. 1.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항의 ‘사람을 비방할 목적’의 의미 및 그 판단 방법        
[2]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항의 ‘허위사실 적시에 의한 명예훼손죄’의 성립 요건 및 ‘허위의 사실’ 해당 여부의 판단 기준"
394,손해배상(기),2006가합22338,2007. 5. 31.,민법,"제750조, 제760조","[1] 제3자가 타인의 명의를 도용하여 온라인 게임서비스에 회원가입신청을 한 경우, 게임서비스 제공자가 회원가입신청을 승인하는 과정에서 이용신청자가 실명정보와 일치하는 본인인지 여부를 적극적으로 확인할 본인확인의무는 없다고 본 사례
[2]           민법 제760조 제3항에 정한 ‘방조’의 의미 및 과실에 의한 불법행위의 방조의 가부(적극)            
[3] 타인의 명의도용행위를 차단하기 위한 온라인 게임서비스 제공자의 주의의무의 정도 및 그 위반 여부의 판단 방법   
[4] 제3자가 타인의 명의를 도용하여 다중접속 온라인 롤플레잉게임 서비스의 회원으로 가입하여 이용한 사안에서, 제반 사정에 비추어 게임서비스제공자로서는 명의도용에 의한 회원가입 및 이용행위를 방지하기 위한 주의의무를 다하였다고 보아 위 명의도용에 대한 방조의 불법행위책임을 부정한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제3조, 제22조",
395,손해배상(기),2006가합22338,2007. 5. 31.,민법,"제750조, 제760조","[1] 제3자가 타인의 명의를 도용하여 온라인 게임서비스에 회원가입신청을 한 경우, 게임서비스 제공자가 회원가입신청을 승인하는 과정에서 이용신청자가 실명정보와 일치하는 본인인지 여부를 적극적으로 확인할 본인확인의무는 없다고 본 사례
[2]           민법 제760조 제3항에 정한 ‘방조’의 의미 및 과실에 의한 불법행위의 방조의 가부(적극)            
[3] 타인의 명의도용행위를 차단하기 위한 온라인 게임서비스 제공자의 주의의무의 정도 및 그 위반 여부의 판단 방법   
[4] 제3자가 타인의 명의를 도용하여 다중접속 온라인 롤플레잉게임 서비스의 회원으로 가입하여 이용한 사안에서, 제반 사정에 비추어 게임서비스제공자로서는 명의도용에 의한 회원가입 및 이용행위를 방지하기 위한 주의의무를 다하였다고 보아 위 명의도용에 대한 방조의 불법행위책임을 부정한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제3조, 제22조",
396,정보통신망이용촉진및정보보호등에관한법률위반,2005도9259,2007. 4. 26.,정보통신망이용촉진등에관한법률,"제22조, 제28조","[1]           구 정보통신망 이용촉진 등에 관한 법률 제22조에서 말하는 ‘타인의 비밀’의 의미        
[2] 인터넷을 통해 공개되는 전화가입자들의 전화번호에 관한 정보를 국회의원 선거인명부의 정보와 조합하여 입후보자에게 제공한 행위는           구 정보통신망 이용촉진 등에 관한 법률 제22조에서 정한 ‘타인의 비밀’을 누설한 경우에 해당하지 않는다고 한 사례"
397,공갈미수·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포등),2007노146,2007. 4. 17.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제65조,"[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제65조 제1항 제3호에서 말하는 ‘공포심’ 및 ‘불안감’의 의미        
[2] 신원을 알 수 없는 사람으로부터 반복적으로 부인의 혼전관계 및 외도사실과 관련된 문자메시지를 받은 남편으로서는 부인의 외도에 대해 의심을 하거나 분노를 느끼기 이전에 누군가 자신의 가정을 위협하고 있고, 자신의 가정을 깨려고 한다고 느끼게 되어 불안감 내지 공포심을 느끼게 된다고 본 사례"
398,공직선거법위반,2006도8368,2007. 3. 15.,공직선거법,"제82조의4, 제93조, 제250조, 제251조, 제255조","[1]           공직선거법 제250조 제2항에서 말하는 ‘후보자에 관한 사실’의 의미        
[2] 주관적으로 후보자의 당선을 방해하려는 목적이 있었다는 점만으로           공직선거법 제250조 제2항의 허위사실공표죄가 성립한다고 볼 수 있는지 여부(소극)            
[3] 특정 정당의 서울시장 후보자의 당선을 방해할 목적으로 인터넷 사이트에 게시한 패러디포스터의 내용이 위 후보자와 직접적인 관련이 없어 위 후보자에 관한 사실을 공표한 것이라고 보기 어렵다고 한 사례   
[4]           공직선거법 제82조의4 제1항에 해당하는 정보통신망을 이용한 문서의 게시행위가           같은 조 제2항의 제한에 위반되는 경우,           같은 법 제93조 제1항,           제255조 제2항 제5호에 의하여 처벌할 수 있는지 여부(소극)           
[5]           공직선거법 제251조에서 정한 ‘사실을 적시하여 후보자를 비방하는 행위’의 의미 및 후보자 소속 정당이나 그 정당 소속 인사 등에 관한 사항이 이에 포함되는지 여부(원칙적 소극)        
[6] 특정 정당의 서울시장 후보자의 당선을 방해할 목적으로 인터넷 사이트에 게시한 위 정당 대표 피습사건에 관한 패러디포스터의 내용이 위 피습사건이 마치 위 정당이 조작한 정치공작인 것처럼 표현하고 있을 뿐 후보자에 대하여는 언급하고 있지 아니하므로 위 게시행위를 두고 후보자를 비방한 것으로는 볼 수 없다고 한 사례
[7]           공직선거법 제250조 제2항의 허위사실공표죄에서 말하는 ‘사실의 공표’와           같은 법 제251조 본문의 후보자비방죄에서 말하는 ‘사실의 적시’의 의미 및 판단 기준"
399,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)(일부인정된죄명:모욕),2007도210,2007. 3. 15.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"[1] 항소심에서 비로소 공소사실이 친고죄로 변경된 경우, 항소심에서의 고소취소가 친고죄에 대한 고소취소로서의 효력이 있는지 여부(소극)
[2]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항 규정의 ‘비방할 목적’의 의미 및 그 판단 방법"
,,,,형사소송법,제232조,
400,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2006노3110,2007. 2. 15.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제49조",
,,,,형법,"제159조, 제308조",
,,,,형사소송법,제364조,
401,손해배상(기),2006가합33062,2007. 2. 8.,민법,제751조,"[1] 정보통신서비스이용자에게 보장되는 자기정보통제권 및 이용자들의 개인정보를 수집·관리하는 정보통신서비스제공자가 부담하는 주의의무의 내용
[2] 이메일 주소가           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제2조 제1항 제6호에 정한 ‘개인정보’에 해당하는지 여부(적극)            
[3] 정보통신서비스제공자가 서비스이용자들에게 이메일을 발송하는 과정에서 실수로 이용자들의 성명, 주민등록번호, 이메일 주소 등 개인정보를 수록한 텍스트 파일을 첨부한 사안에서, 개인정보 보호에 관한 주의의무 위반을 이유로 개인정보가 누출된 이용자들에 대한 위자료 지급책임을 인정한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제2조, 제3조, 제28조, 제32조",
402,물품대금,2005나37682,2007. 2. 6.,상법,제14조,
403,정보공개거부처분취소,2006구합23098,2007. 2. 2.,공공기관의 정보공개에 관한 법률,제9조,"[1] 한·미 FTA 체결을 위한 협정문 초안이 비공개대상정보를 규정한 공공기관의 정보공개에 관한 법률 제9조 제1항 제1호에서 말하는 ‘법률이 위임한 명령에 의하여 비밀로 규정된 정보’에 해당하는지 여부(소극)   
[2] 한·미 양국이 한·미 FTA 협상과 관련하여 생성한 문서에 대하여 비공개하기로 한 합의가 헌법에 의하여 체결·공포된 조약에 해당하는지 여부(소극)    
[3] 한·미 FTA 체결을 위한 협정문 초안이 비공개대상정보를 규정한 공공기관의 정보공개에 관한 법률 제9조 제1항 제2호에서 정한 ‘외교관계에 관한 사항으로서 공개될 경우 국가의 중대한 이익을 현저히 해할 우려가 있다고 인정되는 정보’에 해당한다고 한 사례
[4] 한·미 FTA 체결을 위한 협정문 초안이 비공개대상정보를 규정한 공공기관의 정보공개에 관한 법률 제9조 제1항 제5호에서 정하고 있는 ‘의사결정과정 또는 내부검토과정에 있는 사항 등으로서 공개될 경우 업무의 공정한 수행에 현저한 지장을 초래한다고 인정할 만한 상당한 이유가 있는 정보’에 해당한다고 한 사례"
,,,,국가정보원법,제3조,
,,,,대한민국헌법,제6조,
,,,,보안업무규정,제4조,
,,,,보안업무규정 시행규칙,제7조,
404,전보처분취소청구,2006누2442,2007. 1. 26.,고등교육법,"제14조, 제15조, 제19조, 제25조","[1] 대학의 교원을 학과 또는 학부뿐만 아니라 연구소 또는 부속시설에도 소속되도록 규정한 대학 학칙의 효력(한정 무효)
[2] 대학교 총장이 학과 운영의 정상화를 위하여 학과에 소속되어 학생을 지도하는 교원을 연구소 등으로 소속을 변경할 수 있는지 여부(한정 적극)"
,,,,고등교육법 시행령,제9조,
,,,,교육공무원법,"제17조, 제43조",
,,,,교육공무원임용령,제7조,
405,손해배상(기),2006나45598,2007. 1. 10.,민법,"제105조, 제110조, 제527조","[1] 대규모 아파트 등을 분양하는 자가 분양광고나 분양안내책자, 모델하우스 설치 등을 통해 아파트의 입지조건이나 주변 자연환경, 교통환경, 시설 등에 관하여 다소 과장되게 광고한 내용이 분양계약서에 포함되지 않은 경우, 분양계약의 내용이 되었다고 볼 수 있는지 여부(한정 소극) 
[2] 아파트 분양광고나 분양안내책자, 모델하우스 등을 통하여 제시된 내용이 분양계약서에 명시되지 않은 경우, 분양계약의 내용이 되었다고 보아야 하는지 여부의 판단 기준 
[3] 아파트 신축업체가 분양안내책자에 전철역까지 걸리는 시간, 원격진료시스템 등의 시설 등에 관하여 다소 과장되게 광고하였지만, 이러한 분양광고는 청약의 유인에 불과할 뿐 분양계약의 내용이 되었다고 볼 수 없고, 일반 상거래의 관행이나 신의칙에 비추어 충분히 시인될 수 있는 한도 내로 보여 기망행위에 해당한다고 볼 수 없다고 한 사례"
406,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·업무방해·컴퓨터등장애업무방해,2006고단1874,2007. 1. 9.,,"제105조, 제110조, 제527조",
407,정보부분공개처분취소,2006구합20716,2006. 12. 29.,공공기관의 정보공개에 관한 법률,"제5조, 제10조","[1] 정보공개청구에 있어 공개를 청구하는 정보 및 그 정보가 기록되어 있는 문서 등의 특정 정도   
[2] 공공기관이 국민의 정보공개청구에 따라 새롭게 정보를 생산하거나 가공하여 제공할 의무가 있는지 여부(소극) 및 공개를 구하는 정보를 공공기관이 보유·관리하고 있을 상당한 개연성이 있다는 점에 대한 증명책임의 소재(=공개청구자)
[3] 한·미 FTA와 관련하여 정보공개청구한 사안이 공개거부처분 당시 문서·도면·사진 등의 매체에 기록되어 있지 아니하여 위 사안에 관한 정보는 공공기관이 보유·관리하고 있는 정보에 해당하지 아니하므로 이에 대한 비공개처분은 정당하다고 한 사례"
,,,,공공기관의 정보공개에 관한 법률 시행령,제14조,
,,,,행정소송법,제27조,
408,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2006노2266,2006. 11. 16.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제49조, 제62조",
,,,,형사소송법,"제325조, 제364조",
409,특정범죄가중처벌등에관한법률위반(조세)(인정된죄명:조세범처벌법위반)·특정경제범죄가중처벌등에관한법률위반(횡령)·절도·변호사법위반·범죄수익은닉의규제및처벌등에관한법률위반·조세범처벌법위반,2006도4549,2006. 11. 16.,변호사법,제111조,정부투자기관의 임원인 한국수자원공사 사장이           변호사법 제111조에서 규정하는 ‘법령에 의하여 공무원으로 보는 자’에 해당하는지 여부(소극)
,,,,정부투자기관 관리기본법,"제2조, 제18조",
410,공직선거법위반,2006노1855,2006. 11. 2.,공직선거법,제250조,
,,,,형법,"제37조, 제38조, 제50조, 제53조, 제55조, 제57조, 제69조, 제70조",
,,,,형사소송법,제334조,
411,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·(피고인 1에하여인정된죄명명예훼손)·명예훼손,2006고합130,2006. 10. 27.,형법,"제37조, 제38조, 제50조, 제69조, 제70조, 제307조",
,,,,형사소송법,제325조,
412,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2004도5288,2006. 10. 26.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항의 ‘사람을 비방할 목적’의 의미 및 그 판단 방법        
[2] 고등학교 교사가 피해자가 교감으로 근무하고 있는 고등학교의 여학생에 대한 퇴학처분의 부당함을 알리는 내용의 글을 인터넷 사이트 게시판에 게재한 행위가 공공의 이익을 위하여 한 것으로서 비방할 목적이 있다고 단정할 수 없다고 한 사례"
,,,,형법,제309조,
413,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2005도3112,2006. 10. 13.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항에 있어서 ‘사람을 비방할 목적’의 의미            
[2] 적시된 사실이 공공의 이익에 관한 것인지 여부의 판단 방법 및 공인(公人)의 공적 활동과 밀접한 관련이 있는 사안에 관하여 진실을 공표한 경우에 원칙적으로 공공의 이익에 관한 것이라는 증명이 있다고 볼 것인지 여부(적극)
[3] 인터넷신문 기자가 시의회의원이 시청공무원에게 욕설 등 폭언을 하며 질책하였다는 내용의 기사를 작성, 보도한 사안에서, 위 기사의 내용이 사실을 그대로 적시한 것으로 위 시의회의원을 비방할 목적을 인정하기 어렵다고 한 사례"
,,,,형법,제309조,
414,출판물에의한명예훼손·대기환경보전법위반·모욕{인정된죄명:정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)},2004도6371,2006. 9. 28.,형법,"제37조, 제38조, 제307조, 제309조","[1]           형법 제309조 제1항,           제2항에 정한 ‘사람을 비방할 목적’의 의미 및 그 판단 방법           
[2] 명예훼손죄에 있어서 ‘사실의 적시’의 의미 및 그 판단 방법   
[3] 정보통신망이용촉진 및 정보보호 등에 관한 법률상의 명예훼손죄에 있어서 ‘고의’, ‘비방의 목적’ 및 ‘사실의 적시’의 의미
[4] 경합범 중 일부에 대하여 무죄, 일부에 대하여 유죄를 선고한 제1심판결에 대하여 검사만이 무죄 부분에 대하여 항소한 경우, 항소심에서 이를 파기할 때의 파기범위(=무죄 부분)
[5] 제1심판결의 무죄 부분에 대하여 검사만이 항소하였으나 항소심이 이미 유죄로 확정된 부분까지 다시 심리하여 확정되지 않은 죄와 경합범으로 하여 형을 선고한 것은 위법하다고 한 사례"
,,,,형사소송법,제364조,
415,특정경제범죄가중처벌등에관한법률위반(사기)·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포등),2006도2860,2006. 9. 8.,형법,"제347조, 제351조",상습사기에 있어 상습성의 판단 기준 및 처음부터 장기간에 걸쳐 불특정 다수로부터 회원가입비 명목의 금원을 편취할 목적으로 상당한 자금을 투자하여 성인사이트를 개설하고 직원까지 고용하여 사기행위를 영업으로 한 경우 상습성의 인정 여부(적극)
416,업무방해·협박·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포등),2006노1795,2006. 8. 29.,형사소송법,제364조,
417,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·출판물에의한명예훼손·업무방해,2006도648,2006. 8. 25.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"[1] 어떠한 표현행위가 명예훼손적 사실의 적시에 해당하는지 여부의 판단 기준
[2]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항이나           형법 제309조 제2항에 정한 ‘사람을 비방할 목적’의 의미 및 그 판단 방법        
[3] 특정 일간신문에 반대하는 시민모임의 홈페이지나 유인물 등에 실린 게시물의 내용이 단순한 의견이나 논평에 불과한 것이 아니라 구체적 사실의 적시에 해당하고, 피해자인 위 일간신문을 비방할 목적도 인정된다고 한 사례
[4] 정보통신망을 통한 명예훼손이나 허위사실 적시 명예훼손 행위에 위법성조각에 관한           형법 제310조가 적용될 수 있는지 여부(소극)        
[5]           형법 제309조 제1항에 정한 ‘사람을 비방할 목적’의 의미        
[6] 특정 일간신문에 반대하는 시민모임의 무차별적인 공격에 대항하여 위 일간신문 소속 기자가 독자들에게 위 시민모임의 정체와 활동상황을 알려주기 위하여 기사를 게재한 사안에서, 위 시민모임의 회원들을 비방할 목적이 있었다고 보기 어렵다고 한 사례"
,,,,형법,"제307조, 제309조, 제310조",
418,공직선거법위반,2006고합218,2006. 8. 18.,공직선거법,"제82조의4, 제93조, 제255조","[1] 정보통신망을 이용한 문서의 게시 행위가           공직선거법 제82조의4 제1항에 의하여 허용되는 경우 그 게시된 내용이           같은 조 제2항의 제한에 위반되는 경우에           같은 법 제93조 제1항의 탈법방법에 의한 문서·도화의 배부·게시 등 금지규정이 적용되는지 여부(소극)        
[2] 특정 정당을 반대하는 사람이 전국동시지방선거 선거운동기간 중에 그 정당 소속의 후보자를 반대하는 내용의 패러디 포스터를 인터넷 사이트와 개인 블로그 등에 게시한 사안에서, 위 포스터의 내용이 위 후보자에 관하여 허위사실을 유포한 것이거나, 사실을 적시하여 비방한 것인지에 관하여 살펴볼 필요 없이 적어도           공직선거법 제255조 제2항 제5호,           제93조 제1항의 구성요건에는 해당하지 않는다고 한 사례"
419,청소년유해매체물결정취소,2004누23782,2006. 7. 5.,전기통신사업법,제53조의2,"［1］ 온라인 게임물에 관한 정보통신윤리위원회의 ‘청소년유해매체물’ 결정이 항고소송의 대상이 되는 행정처분에 해당하지 않는다고 한 사례
［2］           구 청소년보호법 제22조의 규정에 의한 청소년보호위원회의 ‘청소년유해매체물’ 고시가 항고소송의 대상이 되는 행정처분에 해당한다고 한 사례"
,,,,청소년보호법,"제2조, 제7조, 제8조, 제10조, 제22조, 제27조, 제28조",
,,,,청소년보호법시행령,"제5조, 제7조",
,,,,행정소송법,제2조,
420,등록세등부과처분취소,2006두2503,2006. 6. 15.,지방세법,"제131조, 제138조","[1] 부동산을 취득한 법인이           구 지방세법 제138조 제1항 단서 규정에 의하여 등록세중과의 예외를 적용받을 수 있는 경우        
[2] 등록세 중과세 대상이 되는 대도시 내로의 법인의 본점 전입에 따른 부동산등기에는 본점의 전입등기는 이루어지지 아니하였지만 실질적으로 대도시 외에서 대도시 내로 본점을 전입한 법인이 그 전입과 관련하여 취득한 부동산등기도 포함한다고 보아, 법인의 직원 중 21명은 등기부상 본점 소재지인 용인에서 근무하고 나머지 219명은 대도시 건물에서 근무하고 있으며, 용인에는 부서 중 총무부만 있고 대외활동과 관련한 부서 사무실은 모두 위 대도시 건물에 있는 점을 비추어, 위 건물에 설치된 법인의 사무소로 실질적인 본점 전입이 이루어진 것으로 보아야 한다고 한 원심의 판단을 수긍한 사례"
,,,,지방세법시행령,제101조,
421,공갈·절도·협박·업무방해·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2005노4541,2006. 5. 25.,정보통신망이용촉진및정보보호등에관한법률,제61조,
,,,,형법,"제37조, 제38조, 제50조, 제62조, 제283조, 제329조, 제350조",
422,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2006노46,2006. 5. 23.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제61조,"［1］           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항에서의 ‘사실’의 의미 및 위 조항과           같은 조 제2항의 관계        
［2］           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항,           제2항에 정한 ‘사람을 비방할 목적’의 의미 및 그 판단 방법        
［3］ 피고인이 종교단체의 교주를 비난하는 글을 다수의 인터넷 홈페이지에 게재한 사안에서,           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제1항,           제2항에 정한 비방의 목적이 인정된다고 한 사례"
423,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포등),2006노435,2006. 5. 16.,음반·비디오물 및 게임물에 관한 법률,"제5조, 제20조, 제35조","［1］ 비디오물에 대한 음란성 판단의 최종적인 주체
［2］ 같은 내용의 동영상을 비디오물로 제작·출시하는 경우와 정보통신망을 통하여 제공하는 경우의 음란성 판단 기준의 차이
［3］ 일본 성인영화의 판권을 소유하는 회사의 대표가 인터넷 포털사이트의 VOD관에 성인영화의 동영상을 제공한 사안에서, 위 동영상이 DVD용 또는 VHS 비디오용으로 이미 영상물등급위원회에서 18세관람가로 등급분류를 받았다 하더라도 음란성이 인정된다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제65조,
424,등록무효(상),2005후346,2006. 5. 12.,상표법,"제6조, 제7조","［1］ 서비스표의 등록적격성 유무의 판단 기준 및 다른 서비스표의 등록례가 특정 서비스표의 등록 근거가 될 수 있는지 여부(소극)
［2］           상표법 제6조 제2항에 정한 사용에 의한 식별력 구비 여부의 입증 정도        
［3］ “011”로 구성된 등록서비스표는 통신망 식별번호로서 특정 이동전화사업자에게 독점시키는 것이 공익상 적절치 않아 특별현저성을 인정할 수 없고, 사용에 의한 식별력을 취득하였다고도 볼 수 없다고 한 사례"
,,,,전기통신사업법,제36조,
425,등록무효(상),2005후339,2006. 5. 12.,상표법,"제6조, 제7조","[1] 서비스표의 등록적격성 유무의 판단 방법 및 다른 서비스표의 등록례가 특정 서비스표의 등록 근거가 될 수 있는지 여부(소극)
[2] ‘SPEED’ 부분과 ‘011’ 부분이 결합하여 구성된 등록서비스표 “SPEED 011”이 그 지정서비스업 중 ‘무선호출 서비스업, 전보통신업, 텔렉스통신업, 팩시밀리통신업, 원격화면통신업, 컴퓨터통신업, 통신사업, 공중기업통신망 서비스업’ 등과의 관계에서 식별력이 인정되지 않는다고 한 원심의 판단을 수긍한 사례
[3] 특별현저성이 없는 것으로 보이는 표장이 사용에 의하여 식별력을 취득한 경우, 서비스표등록을 받을 수 있는 지정서비스업의 범위
[4]           상표법 제6조 제1항 제7호와           같은 조 제2항의 관계        
[5] 등록서비스표 “SPEED 011”이 그 구성 자체로는 식별력이 인정되지 아니하지만, 그 지정서비스업 중 ‘전화통신업, 무선통신업’과의 관계에서 사용에 의한 식별력 취득이 인정된다고 한 원심의 판단을 수긍한 사례
[6] 등록서비스표 “SPEED 011”이 그 지정서비스업 중 ‘전화통신업, 무선통신업’과의 관계에서 사용에 의한 식별력 취득이 인정된다고 하더라도, ‘SPEED’ 부분과 ‘011’ 부분이 결합된 상태의 등록서비스표 전체에 관하여 일체로서 식별력 취득이 인정된다는 것일 뿐, 그 구성요소인 ‘SPEED’ 부분과 ‘011’ 부분이 독립하여 사용에 의한 식별력 취득이 인정된다는 것은 아니므로, 통신망 식별번호인 ‘011’ 부분에 대해서까지 등록서비스표권자에게 독점적인 권리를 인정하고 타인의 자유로운 사용을 금지하는 결과를 낳게 되는 것이라고 볼 수 없다고 한 사례
[7] 등록서비스표 “SPEED 011”이 그 지정서비스업 중 ‘전화통신업, 무선통신업’에 사용되는 경우 국가의 공공기관이 사용하는 감독용이나 증명용 인장 또는 기호에 해당한다고 할 수 없고, 위 등록서비스표의 출원·등록·사용이 공공의 질서 또는 선량한 풍속을 문란하게 할 염려가 있다거나, 통신망 식별번호가 특정인의 사유재산인 것처럼 인식되도록 수요자를 기만하여 지정서비스업에 관한 품질을 오인하게 할 염려가 있다고 볼 수 없다고 한 원심의 판단을 수긍한 사례"
426,등록무효(상),2005후353,2006. 5. 12.,상표법,"제6조, 제7조","［1］ 서비스표의 등록적격성 유무의 판단 기준 및 다른 서비스표의 등록례가 특정 서비스표의 등록 근거가 될 수 있는지 여부(소극)
［2］ 특별현저성이 없는 표장이 사용에 의하여 식별력을 취득한 경우 서비스표등록을 받을 수 있는 지정서비스업의 범위
［3］           상표법 제6조 제1항 제7호에 해당하는 표장도 사용에 의한 식별력을 취득한 경우           같은 조 제2항에 따라 상표등록을 받을 수 있는지 여부(적극)        
［4］ 등록서비스표 “스피드 011”이 그 구성 자체로는 식별력이 인정되지 아니하지만 그 지정서비스업 중 ‘전화통신업, 무선통신업’과의 관계에서 사용에 의한 식별력 취득이 인정되고, 위 서비스업에 사용되는 경우           상표법 제7조 제1항 제1호,           제4호,           제11호에 해당하지 않는다고 한 원심의 판단을 수긍한 사례"
427,정보통신망이용촉진및정보보호등에관한법률위반,2006고정209,2006. 5. 3.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제65조,건강 관련 인터넷 홈페이지에 개설된 커뮤니티에 접속하여 커뮤니티 회원들에게 공개된 이메일 주소록에서 블록 설정 및 복사하기 기능을 이용하여 그곳 회원들의 이메일 주소를 복사한 후 이메일 주소창에 붙여넣기 기능을 이용하여 이메일을 보낸 행위가           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제50조의2에서 말하는 기술적 장치를 이용한 전자우편주소의 수집행위에 해당하지 않는다고 한 사례
,,,,정보통신망이용촉진및정보보호등에관한법률,"제50조의2, 제65조의2",
